연번,훈련기관명,훈련기관위치,주소,위도,경도,훈련기관계열구분
5372,한국전기기술학원,인천 서구,(22711) 인천광역시 서구 서곶로 284 (심곡동 새터빌딩) 2층 일부 201호 202호,126.6775343,37.54289101,
5373,강동현대요양보호사교육원,서울 강동구,(05327) 서울특별시 강동구 올림픽로 686 3층,127.1250408,37.54237505,
5374,안양인테리어기술학원,경기 안양시 동안구,(14119) 경기도 안양시 동안구 엘에스로 103 (호계동) 2층 전체,126.949483,37.37108302,
5375,응암요양보호사교육원,서울 은평구,"(03409) 서울특별시 은평구 진흥로 11 ,3층(역촌동)",126.9167524,37.59986243,
5376,수정인테리어기술병점학원,경기 화성시,(18411) 경기도 화성시 경기대로 1014 병점프라자 6층 604호,127.0369243,37.20638271,
5377,거제네일전문학원,경남 거제시,(53305) 경상남도 거제시 아주1로2길 57 (아주동) 2~3층 거제네일전문학원,128.6858522,34.8670002,
5378,주식회사 세결회계학원,대구 달서구,(42659) 대구광역시 달서구 두류공원로 262 2층 일부,128.5583697,35.85673683,
5379,사단법인한국산업기술협회,서울 금천구,"(08595) 서울특별시 금천구 범안로 1130 디지털엠파이어 14층, 1411호",126.8874499,37.46531994,
5380,변동미즈요양보호사교육원,대전 서구,(35316) 대전광역시 서구 도산로 186 (변동) (4층),127.3789988,36.324776,
5381,(주)에스제이테크,경기 시흥시,(15073) 경기도 시흥시 산기대학로 237 (정왕동 한국산업기술대학교) 2층 232호,126.7335597,37.34008193,
5382,전주공예학원,전북 전주시 완산구,(55133) 전라북도 전주시 완산구 양지2길 11-13 1층 101호,127.1243972,35.79267136,
5383,(주)규림,경북 구미시,(39367) 경상북도 구미시 수출대로 152 세원테크노밸리 405호,128.3810138,36.11051263,
5384,레더볼사가죽공예학원,경남 창원시 성산구    ,(51496) 경상남도 창원시 성산구 마디미서로 26 한독빌딩 403호 레더볼사가죽공예학원,128.6825685,35.2227892,
